iter	Passed	Remaining
0	2	2431
1	6	3299
2	8	2917
3	10	2711
4	12	2560
5	14	2478
6	16	2386
7	18	2334
8	24	2704
9	26	2668
10	29	2668
11	31	2624
12	33	2580
13	37	2636
14	41	2718
15	44	2712
16	46	2671
17	48	2634
18	50	2599
19	54	2692
20	57	2659
21	59	2631
22	61	2601
23	63	2569
24	64	2534
25	67	2513
26	70	2530
27	72	2508
28	74	2486
29	76	2476
30	78	2455
31	80	2431
32	82	2415
33	92	2642
34	97	2685
35	100	2684
36	102	2669
37	104	2651
38	106	2634
39	108	2611
40	110	2588
41	112	2570
42	114	2552
43	117	2549
44	119	2531
45	121	2518
46	123	2501
47	125	2484
48	127	2467
49	129	2458
50	131	2444
51	133	2442
52	136	2435
53	138	2422
54	140	2408
55	142	2394
56	144	2385
57	146	2372
58	148	2372
59	150	2362
60	153	2358
61	155	2347
62	157	2335
63	159	2326
64	160	2315
65	162	2305
66	165	2304
67	167	2296
68	169	2287
69	171	2277
70	173	2267
71	175	2259
72	177	2249
73	179	2240
74	181	2237
75	183	2227
76	185	2217
77	186	2209
78	188	2200
79	190	2195
80	192	2187
81	194	2178
82	198	2188
83	200	2184
84	202	2177
85	204	2170
86	206	2165
87	208	2157
88	210	2150
89	212	2151
90	214	2147
91	217	2142
92	219	2136
93	220	2129
94	222	2122
95	224	2114
96	226	2110
97	229	2111
98	231	2107
99	233	2104
100	235	2098
101	237	2091
102	239	2085
103	241	2078
104	244	2085
105	247	2084
106	249	2079
107	251	2075
108	253	2069
109	254	2062
110	256	2056
111	258	2051
112	261	2048
113	262	2043
114	264	2037
115	266	2032
116	268	2026
117	270	2020
118	272	2015
119	274	2009
120	276	2008
121	278	2003
122	280	1998
123	282	1993
124	284	1988
125	285	1982
126	287	1977
127	289	1974
128	292	1975
129	294	1970
130	296	1966
131	298	1961
132	300	1956
133	301	1951
134	303	1946
135	305	1942
136	309	1951
137	313	1955
138	316	1958
139	318	1958
140	322	1966
141	325	1969
142	328	1970
143	332	1974
144	334	1974
145	337	1973
146	340	1976
147	343	1976
148	346	1977
149	349	1977
150	352	1979
151	354	1977
152	358	1983
153	360	1982
154	364	1985
155	367	1985
156	369	1985
157	372	1986
158	375	1984
159	377	1983
160	380	1981
161	382	1980
162	385	1978
163	388	1982
164	391	1983
165	394	1981
166	396	1977
167	398	1974
168	400	1970
169	404	1977
170	407	1977
171	410	1974
172	412	1970
173	414	1966
174	416	1961
175	418	1957
176	421	1958
177	423	1954
178	425	1951
179	427	1947
180	429	1944
181	431	1940
182	433	1936
183	436	1936
184	438	1933
185	441	1930
186	443	1927
187	445	1923
188	447	1919
189	449	1915
190	453	1918
191	455	1916
192	457	1913
193	459	1909
194	461	1904
195	463	1900
196	465	1896
197	468	1898
198	470	1894
199	473	1892
200	475	1889
201	477	1885
202	479	1880
203	480	1876
204	483	1874
205	485	1872
206	488	1870
207	490	1866
208	491	1861
209	493	1857
210	495	1853
211	498	1852
212	501	1853
213	504	1852
214	506	1851
215	508	1847
216	510	1842
217	512	1838
218	515	1837
219	517	1835
220	519	1830
221	521	1828
222	523	1825
223	525	1821
224	527	1817
225	530	1815
226	532	1812
227	534	1808
228	536	1805
229	538	1801
230	539	1797
231	541	1793
232	543	1789
233	546	1787
234	548	1784
235	549	1780
236	552	1777
237	553	1773
238	555	1769
239	557	1765
240	559	1761
241	561	1760
242	564	1757
243	566	1754
244	568	1750
245	569	1746
246	571	1743
247	573	1739
248	575	1735
249	578	1734
250	580	1730
251	581	1727
252	583	1723
253	585	1719
